date,hour,end_hour,start_station_id,end_station_id,day_type,trips
2018-10-05,20,21,258,261,1,1
2018-10-05,20,21,259,273,1,1
2018-10-05,20,21,261,250,1,1
2018-10-05,20,21,275,249,1,1
2018-10-05,20,22,265,183,1,1
2018-10-05,21,22,265,183,1,1
2018-10-05,21,23,260,264,1,1
2018-10-05,23,0,247,262,1,1
2018-10-05,23,0,259,250,1,1
2018-10-05,23,0,259,273,1,1
2018-10-06,0,1,248,249,0,1
2018-10-06,0,1,248,257,0,1
2018-10-06,2,3,248,265,0,1
2018-10-06,2,3,264,249,0,1
2018-10-06,7,9,275,171,0,1
2018-10-06,8,9,262,250,0,2
2018-10-06,8,9,266,262,0,1
2018-10-06,9,10,265,183,0,1
2018-10-06,9,10,266,250,0,1
2018-10-06,9,11,171,257,0,2
2018-10-06,9,11,250,247,0,2
2018-10-06,9,11,254,248,0,1
2018-10-06,9,11,262,246,0,1
2018-10-06,9,11,266,262,0,1
2018-10-06,10,11,249,273,0,1
2018-10-06,10,11,262,251,0,1
2018-10-06,10,12,249,258,0,2
2018-10-06,10,12,250,262,0,2
2018-10-06,11,12,251,249,0,2
2018-10-06,11,12,257,250,0,2
2018-10-06,11,12,261,262,0,2
2018-10-06,11,12,262,266,0,1
2018-10-06,11,13,171,250,0,1
2018-10-06,11,13,189,247,0,2
2018-10-06,11,13,189,262,0,2
2018-10-06,11,13,261,257,0,2
2018-10-06,11,13,262,266,0,1
2018-10-06,11,15,261,262,0,1
2018-10-06,12,13,248,183,0,2
2018-10-06,12,13,248,253,0,1
2018-10-06,12,13,258,250,0,1
2018-10-06,12,13,259,273,0,1
2018-10-06,12,14,246,248,0,2
2018-10-06,12,14,246,262,0,1
2018-10-06,12,14,247,261,0,1
2018-10-06,12,14,249,258,0,2
2018-10-06,12,14,250,257,0,1
2018-10-06,12,14,250,258,0,2
2018-10-06,12,14,260,250,0,2
2018-10-06,12,14,262,250,0,1
2018-10-06,12,14,264,248,0,2
2018-10-06,12,15,262,250,0,1
2018-10-06,13,14,171,257,0,2
2018-10-06,13,14,189,265,0,1
2018-10-06,13,14,247,266,0,2
2018-10-06,13,14,248,259,0,2
2018-10-06,13,14,248,275,0,1
2018-10-06,13,14,251,261,0,1
2018-10-06,13,14,254,246,0,2
2018-10-06,13,14,275,189,0,1
2018-10-06,13,15,171,260,0,3
2018-10-06,13,15,183,189,0,2
2018-10-06,13,15,248,183,0,2
2018-10-06,13,15,250,258,0,1
2018-10-06,13,15,251,258,0,1
2018-10-06,13,15,257,256,0,1
2018-10-06,13,15,258,249,0,2
2018-10-06,14,15,248,257,0,2
2018-10-06,14,15,260,259,0,3
2018-10-06,14,16,171,259,0,1
2018-10-06,14,16,225,275,0,1
2018-10-06,14,16,250,257,0,1
2018-10-06,14,16,256,259,0,1
2018-10-06,14,16,257,250,0,1
2018-10-06,14,16,257,262,0,1
2018-10-06,14,16,258,225,0,2
2018-10-06,14,16,259,258,0,2
2018-10-06,14,17,258,262,0,1
2018-10-06,15,16,248,252,0,2
2018-10-06,15,16,248,264,0,1
2018-10-06,15,16,249,246,0,1
2018-10-06,15,16,250,262,0,1
2018-10-06,15,16,257,261,0,2
2018-10-06,15,16,257,264,0,2
2018-10-06,15,16,257,266,0,1
2018-10-06,15,16,259,258,0,2
2018-10-06,15,16,259,262,0,2
2018-10-06,15,16,261,258,0,1
2018-10-06,15,16,262,249,0,1
2018-10-06,15,16,266,246,0,1
2018-10-06,15,17,183,171,0,2
2018-10-06,15,17,247,249,0,2
2018-10-06,15,17,262,259,0,1
2018-10-06,16,17,171,246,0,1
2018-10-06,16,17,183,264,0,2
2018-10-06,16,17,246,249,0,1
2018-10-06,16,17,246,250,0,1
2018-10-06,16,17,248,261,0,1
2018-10-06,16,17,253,265,0,2
2018-10-06,16,17,260,247,0,2
2018-10-06,16,17,261,247,0,1
2018-10-06,16,17,273,265,0,1
2018-10-06,16,18,259,257,0,1
2018-10-06,16,18,275,258,0,1
2018-10-06,16,19,259,258,0,1
2018-10-06,17,18,258,248,0,2
2018-10-06,17,18,258,261,0,1
2018-10-06,17,18,265,273,0,1
2018-10-06,17,19,250,261,0,4
2018-10-06,17,19,259,250,0,1
2018-10-06,18,19,249,247,0,1
2018-10-06,18,19,249,265,0,1
2018-10-06,18,19,265,249,0,2
2018-10-06,18,20,189,273,0,1
2018-10-06,19,20,247,249,0,1
2018-10-06,19,20,254,265,0,1
2018-10-06,19,20,256,259,0,1
2018-10-06,19,21,273,275,0,2
2018-10-06,20,21,225,273,0,1
2018-10-06,20,21,259,247,0,3
2018-10-06,20,21,264,248,0,1
2018-10-06,20,22,171,249,0,1
2018-10-06,20,22,248,247,0,2
2018-10-06,20,22,248,275,0,2
2018-10-06,22,23,183,261,0,1
2018-10-06,22,23,249,265,0,2
2018-10-06,23,0,189,262,0,1
2018-10-06,23,0,258,250,0,1
2018-10-06,23,0,265,249,0,1
2018-10-07,0,1,247,261,0,1
2018-10-07,0,1,261,259,0,1
2018-10-07,6,7,262,250,0,1
2018-10-07,7,9,250,262,0,1
2018-10-07,8,10,273,258,0,2
2018-10-07,8,11,249,250,0,1
2018-10-07,9,10,258,259,0,1
2018-10-07,9,11,247,183,0,1
2018-10-07,9,11,275,246,0,1
2018-10-07,10,11,183,247,0,1
2018-10-07,10,11,259,254,0,2
2018-10-07,10,12,250,259,0,1
2018-10-07,11,12,171,261,0,1
2018-10-07,11,12,256,260,0,1
2018-10-07,11,13,265,262,0,1
2018-10-07,12,13,249,259,0,1
2018-10-07,12,13,262,258,0,1
2018-10-07,12,13,273,250,0,1
2018-10-07,12,14,171,275,0,1
2018-10-07,12,14,260,256,0,1
2018-10-07,12,14,262,266,0,1
2018-10-07,12,14,265,257,0,1
2018-10-07,13,14,189,273,0,1
2018-10-07,13,14,246,183,0,1
2018-10-07,13,14,254,248,0,1
2018-10-07,13,14,261,262,0,1
2018-10-07,14,15,250,273,0,1
2018-10-07,14,15,261,251,0,1
2018-10-07,14,16,275,183,0,1
2018-10-07,15,16,248,247,0,1
2018-10-07,15,16,260,246,0,1
2018-10-07,15,17,183,249,0,1
2018-10-07,15,17,248,254,0,1
2018-10-07,15,17,264,262,0,1
2018-10-07,16,17,246,260,0,1
2018-10-07,16,17,248,249,0,1
2018-10-07,16,17,248,261,0,1
2018-10-07,16,17,262,249,0,2
2018-10-07,16,17,265,275,0,1
2018-10-07,16,17,275,261,0,2
2018-10-07,17,18,249,248,0,1
2018-10-07,17,18,249,265,0,1
2018-10-07,17,19,249,248,0,1
2018-10-07,17,19,249,273,0,1
2018-10-07,17,19,260,261,0,1
2018-10-07,18,19,248,249,0,1
2018-10-07,18,19,248,264,0,1
2018-10-07,18,19,259,257,0,1
2018-10-07,19,20,248,249,0,2
2018-10-07,20,21,183,262,0,1
2018-10-07,20,21,246,261,0,2
2018-10-07,20,21,251,273,0,1
2018-10-07,22,23,247,262,0,2
2018-10-07,23,0,171,273,0,1
2018-10-08,0,1,248,249,1,1
