name,geometry,lat,lon,category
,POINT (-3.1843919423930194 55.94372789230137),55.94372789,-3.184391942,residential
,POINT (-3.122704015979939 55.93022395050515),55.93022395,-3.122704016,residential
,POINT (-3.1437980827922387 55.92994470880955),55.92994471,-3.143798083,residential
,POINT (-3.143980243652076 55.930091932088025),55.93009193,-3.143980244,residential
,POINT (-3.143659428766873 55.92959548608532),55.92959549,-3.143659429,residential
,POINT (-3.1437599102737224 55.92975174791749),55.92975175,-3.14375991,residential
,POINT (-3.14409092950093 55.930257957167754),55.93025796,-3.14409093,residential
,POINT (-3.1441762367853796 55.93038785511577),55.93038786,-3.144176237,residential
,POINT (-3.144270037438114 55.93052398615701),55.93052399,-3.144270037,residential
,POINT (-3.1443688653795405 55.93066589682986),55.9306659,-3.144368865,residential
,POINT (-3.1445992981697404 55.93100803165104),55.93100803,-3.144599298,residential
,POINT (-3.1448775974935224 55.9314172421401),55.93141724,-3.144877597,residential
,POINT (-3.1447655890297965 55.93125540228264),55.9312554,-3.144765589,residential
,POINT (-3.144970425421868 55.93158166292051),55.93158166,-3.144970425,residential
,POINT (-3.1854774785923947 55.94280191894492),55.94280192,-3.185477479,residential
,POINT (-3.184688404190594 55.942925847395784),55.94292585,-3.184688404,residential
,POINT (-3.1848079427619775 55.942907887506045),55.94290789,-3.184807943,residential
,POINT (-3.185237705624293 55.9428420824414),55.94284208,-3.185237706,residential
,POINT (-3.1850016414402127 55.94287767074556),55.94287767,-3.185001641,residential
,POINT (-3.184655523461671 55.94281575202284),55.94281575,-3.184655523,residential
,POINT (-3.139864931430797 55.931011259846294),55.93101126,-3.139864931,residential
,POINT (-3.1399102273178543 55.931087086652575),55.93108709,-3.139910227,residential
,POINT (-3.139443006403805 55.93033434741974),55.93033435,-3.139443006,residential
,POINT (-3.1392989436249783 55.93022906750869),55.93022907,-3.139298944,residential
,POINT (-3.139634233276611 55.93063666537606),55.93063667,-3.139634233,residential
,POINT (-3.1395942089451805 55.93057232472171),55.93057232,-3.139594209,residential
,POINT (-3.1395279044993623 55.93046511188936),55.93046511,-3.139527904,residential
,POINT (-3.186026001414102 55.9427147029877),55.9427147,-3.186026001,residential
,POINT (-3.186465852110353 55.94264749950706),55.9426475,-3.186465852,residential
,POINT (-3.186244238045378 55.942680787891355),55.94268079,-3.186244238,residential
,POINT (-3.1858158361558435 55.94274159652429),55.9427416,-3.185815836,residential
,POINT (-3.1824954783976955 55.93611246973909),55.93611247,-3.182495478,residential
,POINT (-3.1824854817613133 55.936090089903864),55.93609009,-3.182485482,residential
,POINT (-3.1822502999999984 55.93595330000001),55.9359533,-3.1822503,residential
,POINT (-3.1822589174248925 55.93577452088814),55.93577452,-3.182258917,residential
Sciennes Primary School,POINT (-3.187666428074663 55.93837778908843),55.93837779,-3.187666428,school
Zoo Entrance,POINT (-3.2687405413622104 55.942402687879884),55.94240269,-3.268740541,commercial
,POINT (-3.1845323973769695 55.97209694328067),55.97209694,-3.184532397,commercial
,POINT (-3.1843478846842683 55.97212946774224),55.97212947,-3.184347885,commercial
,POINT (-3.18416331814035 55.972161939575805),55.97216194,-3.184163318,commercial
,POINT (-3.183978804374045 55.97219446108641),55.97219446,-3.183978804,commercial
Broughton High School,POINT (-3.221957866648866 55.960932686834404),55.96093269,-3.221957867,school
,POINT (-3.171273856900468 55.97908607764654),55.97908608,-3.171273857,commercial
,POINT (-3.19464559931783 55.94359317816411),55.94359318,-3.194645599,residential
West Mains Road Postgraduate Accommodation,POINT (-3.1778728399595177 55.92429414425084),55.92429414,-3.17787284,residential
,POINT (-3.19965290345733 55.92474966240837),55.92474966,-3.199652903,residential
,POINT (-3.202368692182908 55.97702607299658),55.97702607,-3.202368692,residential
,POINT (-3.1987321722277517 55.976497647636876),55.97649765,-3.198732172,residential
,POINT (-3.1982504831756624 55.979496486096885),55.97949649,-3.198250483,residential
,POINT (-3.200457305807864 55.97983033860349),55.97983034,-3.200457306,residential
,POINT (-3.1986381356494924 55.980135485449864),55.98013549,-3.198638136,residential
,POINT (-3.1692628466635533 55.91773211518038),55.91773212,-3.169262847,residential
,POINT (-3.177959817732142 55.91424608463739),55.91424608,-3.177959818,residential
,POINT (-3.17671276215306 55.914646795606245),55.9146468,-3.176712762,residential
,POINT (-3.177497181352742 55.913964887026516),55.91396489,-3.177497181,residential
,POINT (-3.1766623377988528 55.91442047798424),55.91442048,-3.176662338,residential
,POINT (-3.1770482436886542 55.91465409243137),55.91465409,-3.177048244,residential
,POINT (-3.1771692422681195 55.91441924181632),55.91441924,-3.177169242,residential
,POINT (-3.177400619543781 55.91436304275599),55.91436304,-3.17740062,residential
,POINT (-3.0877356578475634 55.91089851852475),55.91089852,-3.087735658,commercial
The Royal High School,POINT (-3.2849652494790313 55.96369494111103),55.96369494,-3.284965249,school
Dunedin School,POINT (-3.1664022907315568 55.92545629037371),55.92545629,-3.166402291,school
,POINT (-3.222592998410743 55.97118186557134),55.97118187,-3.222592998,residential
,POINT (-3.22232343113038 55.97067266757265),55.97067267,-3.222323431,residential
,POINT (-3.2217969119167322 55.97059700987111),55.97059701,-3.221796912,residential
,POINT (-3.2232058775273864 55.9712914537831),55.97129145,-3.223205878,residential
,POINT (-3.219693835657048 55.97164409036582),55.97164409,-3.219693836,residential
,POINT (-3.222783899815566 55.97580888238036),55.97580888,-3.2227839,residential
,POINT (-3.225233825437293 55.9806029917491),55.98060299,-3.225233825,residential
,POINT (-3.23146076220293 55.97921988887667),55.97921989,-3.231460762,commercial
,POINT (-3.2320446386541253 55.97843649549629),55.9784365,-3.232044639,commercial
,POINT (-3.2317111864962964 55.97898110312759),55.9789811,-3.231711186,commercial
Rabbie's Trail Burners,POINT (-3.231888857659701 55.98342741247798),55.98342741,-3.231888858,commercial
,POINT (-3.247059375533351 55.9745761511158),55.97457615,-3.247059376,residential
,POINT (-3.2481866206459755 55.97338802029686),55.97338802,-3.248186621,residential
,POINT (-3.3208250296344475 55.9378977539626),55.93789775,-3.32082503,commercial
,POINT (-3.128382093008521 55.93059251490114),55.93059251,-3.128382093,residential
ION Concept Systems,POINT (-3.195179864255229 55.96568215550106),55.96568216,-3.195179864,residential
,POINT (-3.242674722423289 55.925099134460226),55.92509913,-3.242674722,residential
,POINT (-3.241999403722017 55.9250281638812),55.92502816,-3.241999404,residential
University of Edinburgh - Pleasance,POINT (-3.181016304012657 55.947977121309606),55.94797712,-3.181016304,university
Newtongrange Library,POINT (-3.0658300500000006 55.86672505),55.86672505,-3.06583005,library
,POINT (-3.2292012576329765 55.92786338556366),55.92786339,-3.229201258,residential
,POINT (-3.2011030962010727 55.95338352005349),55.95338352,-3.201103096,commercial
Eagle Buildings,POINT (-3.195919888873296 55.95306267264751),55.95306267,-3.195919889,commercial
,POINT (-3.192941992939562 55.957100864092574),55.95710086,-3.192941993,commercial
,POINT (-3.2516404464364514 55.909181864573426),55.90918186,-3.251640446,residential
,POINT (-3.2512735000008193 55.90969532929498),55.90969533,-3.2512735,residential
Booker,POINT (-3.0788534999999997 55.9466794),55.9466794,-3.0788535,commercial
,POINT (-3.177479072643982 55.939198431252095),55.93919843,-3.177479073,residential
,POINT (-3.177181670268517 55.93922866176302),55.93922866,-3.17718167,residential
,POINT (-3.1777802897948257 55.93914742074646),55.93914742,-3.17778029,residential
,POINT (-3.1780973944704223 55.939104915518136),55.93910492,-3.178097394,residential
,POINT (-3.1783439637829916 55.938985037469465),55.93898504,-3.178343964,residential
,POINT (-3.1767691007313053 55.9388655742199),55.93886557,-3.176769101,residential
The Edinburgh Academy,POINT (-3.2054679150691316 55.960788993602655),55.96078899,-3.205467915,school
